employee_id_hash,name,company_id,tenure_years,gender,marital_status,is_permanent,performance_score,performance_rating,has_promotion,behavior_avg,psychological_score,drive_score,mental_strength_score,adaptability_score,collaboration_score,has_quick_assessment,holistic_score,score_alignment,leadership_potential,perf_beh_ratio,combined_score,score_difference,tenure_category,performance_level,behavioral_level,high_performer,gender_encoded,marital_status_encoded,is_permanent_encoded,performance_rating_encoded,tenure_category_encoded,performance_level_encoded,behavioral_level_encoded
af691d475242418d1640f6ba5e342b95,Nina Nugraha,93,6,M,single,t,57.48,Below Average,0,50.6999,44.519,56.3,49.1,36.5,60.8,1,51.5572,0.9322,50.8793,1.1337,54.0894,6.7791,senior,low,low,0,1,1,1,3,2,1,1
5c2fb9af9b74dd3124e817cf6ee632f9,Irwan Pratama,60,6,F,single,t,74.83,Average,0,78.3042,78.628,86.0,56.6,78.5,92.1,1,77.0104,0.9652,77.3581,0.9556,76.5655,-3.4774,senior,medium,medium,0,0,1,1,0,2,2,2
7e472e3c4ed14cc4886bcff87a89631a,Joko Sinaga,75,10,F,married,t,91.87,Excellent,1,77.9791,80.739,75.5,58.8,86.0,91.6,1,84.3629,0.8611,82.9739,1.1781,84.9237,13.8893,senior,high,medium,1,0,0,1,1,2,0,2
8dd8fda27092b3e7f26a155c99da077f,Kartini Wijaya,67,9,F,married,t,51.48,Below Average,0,59.5579,61.062,46.4,66.2,52.8,72.8,1,56.7795,0.9193,57.5869,0.8644,55.5209,-8.0741,senior,low,low,0,0,0,1,3,2,1,1
ad3edfbbe2932d7a844b98c98b912119,Siti Nugraha,107,2,M,married,t,79.79,Good,0,62.7718,62.183,72.3,65.8,56.5,56.5,1,69.4016,0.8298,67.7,1.2711,71.2799,17.0163,junior,medium,low,0,1,0,1,2,0,2,1
bc9bf2c0a5e4b1c9f73dde501aa83b5f,Rizki Utama,62,5,M,married,f,90.93,Excellent,0,86.1304,93.384,69.1,87.1,89.6,98.7,1,90.2256,0.952,89.7458,1.0557,88.5292,4.7977,mid,high,medium,1,1,0,0,1,1,0,2
3a0b156dfce54ca852f74e3316cd66a8,Putri Manurung,109,9,F,married,t,99.42,Excellent,0,85.5812,70.835,90.0,86.4,74.8,91.2,0,86.6925,0.8616,85.3087,1.1617,92.5001,13.8379,senior,high,medium,1,0,0,1,1,2,0,2
323b914067ffe31e70f383abc154699e,Novi Utama,81,2,M,single,t,82.11,Good,0,68.4061,53.536,60.3,81.0,64.6,67.7,1,69.4271,0.8629,68.0566,1.2004,75.2589,13.7056,junior,medium,low,0,1,1,1,2,0,2,1
d7511b7fac36ac629fdcaed9d164a029,Hendra Sari,109,4,M,married,t,63.96,Average,0,59.0373,53.363,64.2,68.5,43.7,59.8,1,59.3059,0.9507,58.8132,1.0835,61.501,4.9276,mid,low,low,0,1,0,1,0,1,1,1
2a5ad8e4cab1a49c79243a83ca49fe61,Wati Sari,60,12,F,married,t,56.01,Below Average,0,62.7846,67.946,54.4,75.4,51.7,69.6,0,61.6219,0.9322,62.2997,0.892,59.3955,-6.7783,veteran,low,low,0,0,0,1,3,3,1,1
a7e679cf7b6cc545b09939278545b624,Lina Prasetyo,95,1,M,married,t,70.21,Average,0,68.1806,53.584,80.7,46.2,77.4,68.5,1,64.6122,0.9797,64.4096,1.0297,69.1937,2.0261,junior,medium,low,0,1,0,1,0,0,2,1
8d0d64e648f5c765775219580ef2362a,Ratna Sutanto,83,6,F,single,t,89.39,Good,1,84.604,68.251,90.6,82.9,89.7,75.2,1,81.6142,0.9521,81.1352,1.0566,86.9992,4.7904,senior,high,medium,1,0,1,1,2,2,0,2
569ac53f1b1f425e832e71edf4c15f30,Suci Wibowo,76,6,M,married,t,60.41,Average,0,72.8233,47.406,57.1,85.5,75.0,73.8,1,60.2326,0.8759,61.474,0.8295,66.6164,-12.4139,senior,low,low,0,1,0,1,0,2,1,1
dd34e30e22c544e75f8a1aebd84aabe9,Suci Sinaga,95,3,F,single,f,95.17,Excellent,1,100.0,91.054,100.0,100.0,100.0,100.0,1,95.3827,0.9517,95.8661,0.9517,97.5833,-4.8333,mid,high,high,1,0,1,0,1,1,0,0
fc77c17223c5827ac037bf2d1f52f923,Taufik Saputra,100,9,M,widow,t,25.72,Below Average,0,60.5111,53.11,63.3,75.6,45.8,57.4,1,44.3762,0.6521,47.8549,0.4251,43.1177,-34.7867,senior,low,low,0,1,2,1,3,2,1,1
223d7beb35f4d69cbdf67d49adfffa09,Deni Putra,103,9,F,married,t,100.0,Excellent,0,92.2506,80.512,92.3,95.7,81.0,100.0,1,91.8287,0.9225,91.0538,1.084,96.1253,7.7494,senior,high,high,1,0,0,1,1,2,0,0
3cc2a922be46180d39202fee47d31d75,Indra Prasetyo,84,5,M,married,t,90.88,Excellent,0,81.7179,100.0,82.7,78.1,73.1,93.0,1,90.867,0.9084,89.9509,1.1121,86.2985,9.1612,mid,high,medium,1,1,0,1,1,1,0,2
7e6113705ae105e63c8c0f0d151b8a32,Widya Prasetyo,60,6,M,married,t,49.85,Below Average,0,43.3255,45.168,31.1,57.6,37.8,46.7,0,46.4883,0.9347,45.8358,1.1506,46.588,6.525,senior,low,low,0,1,0,1,3,2,1,1
40359e04f4f5eb65b7f8729fc8e96e0f,Lina Rahayu,96,2,F,single,t,55.8,Below Average,0,60.9966,56.391,76.7,51.1,57.8,58.5,1,57.537,0.9481,58.0565,0.9148,58.3991,-5.1949,junior,low,low,0,0,1,1,3,0,1,1
f89db2e53aff6221884ab0a06691e8a3,Citra Situmorang,87,0,O,widow,t,44.81,Below Average,0,67.7565,73.705,63.3,65.8,70.6,71.4,1,60.3631,0.7705,62.6576,0.6614,56.284,-22.945,junior,low,low,0,0,2,1,3,0,1,1
c332e2b1e8d1c98b0ea10b4332920385,Zainal Nugraha,92,8,M,widow,t,84.13,Good,0,65.9319,77.152,63.9,75.6,63.4,60.9,1,76.5751,0.8181,74.7558,1.2759,75.0285,18.1932,senior,medium,low,0,1,2,1,2,2,2,1
a8c1acca59c2ab729d07fa22c8cb6ca4,Tri Putra,69,3,M,single,t,71.16,Average,0,75.1024,69.118,65.3,77.4,79.3,78.4,1,71.7292,0.9606,72.1237,0.9475,73.13,-3.945,mid,medium,medium,0,1,1,1,0,1,2,2
a9cafc3e1295d79c07d41fb7c0a8e510,Endang Harahap,103,5,F,married,t,100.0,Excellent,1,86.7313,100.0,87.1,88.2,71.6,100.0,1,96.0194,0.8673,94.6925,1.153,93.3656,13.2687,mid,high,medium,1,0,0,1,1,1,0,2
1639c2fd549a860b3bda3ebbd0e10383,Nina Simanjuntak,89,6,F,married,t,75.8,Good,0,65.7293,71.975,77.5,64.6,48.0,72.9,1,71.63,0.8993,70.6232,1.1532,70.763,10.0673,senior,medium,low,0,0,0,1,2,2,2,1
1a4a359a4d1d0affe273eae1bd923211,Eko Susanto,106,1,M,single,t,63.86,Average,0,61.4681,49.014,62.4,50.0,78.1,55.3,1,58.6879,0.9761,58.449,1.0389,62.663,2.3898,junior,low,low,0,1,1,1,0,0,1,1
1a5c87960aa693a37db603fa42281936,Ratna Putra,81,1,M,married,t,68.94,Average,0,58.3735,74.911,35.5,61.6,63.4,73.0,1,67.5613,0.8943,66.5047,1.181,63.6566,10.5661,junior,low,low,0,1,0,1,0,0,1,1
8a8409d4b0ee9aaa5d3d3c10fa732e0a,Indra Nasution,60,1,F,widow,t,75.54,Good,0,75.6495,78.141,71.8,88.6,66.4,75.7,0,76.3521,0.9989,76.3632,0.9985,75.5936,-0.1118,junior,medium,medium,0,0,2,1,2,0,2,2
45166899e69c164540e0caa2f7d945a6,Irwan Permana,94,3,M,married,t,95.46,Excellent,0,74.83,65.133,79.7,78.0,66.6,75.0,1,80.1735,0.7937,78.1103,1.2757,85.1458,20.6316,mid,high,low,1,1,0,1,1,1,0,1
5db18f948ecddea97d101671c39e4a5e,Widya Sari,77,1,M,married,t,58.04,Below Average,0,56.4681,40.456,43.9,37.8,65.6,78.5,1,52.2923,0.9843,52.1353,1.0278,57.253,1.5698,junior,low,low,0,1,0,1,3,0,1,1
ed581552ee800094bc2e2da97e8ae525,Andi Rahayu,89,1,F,single,t,86.65,Good,0,74.6624,85.998,77.8,75.6,67.6,77.7,1,82.8579,0.8801,81.6592,1.1605,80.6557,11.9867,junior,high,low,1,0,1,1,2,0,0,1
16210ce212cbf69dcca3a1ef9f58d2cb,Agus Simanjuntak,70,5,M,married,t,48.0,Below Average,0,53.5811,64.937,39.0,59.1,61.7,54.5,1,54.7564,0.9442,55.3142,0.8959,50.7917,-5.5788,mid,low,low,0,1,0,1,3,1,1,1
e21921a246e9ed0f27ed12a27947f6b3,Yudi Manurung,92,3,M,married,t,57.84,Below Average,0,48.1127,46.673,32.9,73.8,37.8,47.9,1,51.5729,0.9027,50.5999,1.2022,52.978,9.7306,mid,low,low,0,1,0,1,3,1,1,1
3238876582ec3e6916e2af8802fbd278,Fitri Tampubolon,70,11,M,single,t,100.0,Excellent,0,85.9997,91.461,91.6,82.6,81.7,88.2,1,93.2383,0.86,91.8383,1.1628,92.9998,14.0003,veteran,high,medium,1,1,1,1,1,3,0,2
6a13c12aa3b435a8580490b9992ccb19,Andi Yuliana,104,5,F,married,t,73.69,Average,0,60.2535,73.655,73.4,35.8,81.8,50.1,1,69.6473,0.8657,68.3039,1.223,66.9703,13.4336,mid,medium,low,0,0,0,1,0,1,2,1
3ae3614e3a3fe99c4c762718c9a63990,Wati Pratama,98,1,F,married,t,76.42,Good,0,85.6226,70.484,82.7,100.0,77.3,82.6,1,77.4018,0.908,78.3216,0.8926,81.0236,-9.198,junior,medium,medium,0,0,0,1,2,0,2,2
6e7d0d53ba2a8f1b861fd5743af4293b,Andi Utama,61,7,F,single,t,63.05,Average,0,57.2575,48.031,45.5,51.9,61.8,69.8,1,56.8079,0.942,56.2283,1.1012,60.1556,5.796,senior,low,low,0,0,1,1,0,2,1,1
3a818ee6edc93779215aeff0fdec7cba,Taufik Nasution,85,2,M,single,f,64.28,Average,1,44.3917,67.777,51.2,42.7,46.7,37.1,1,59.3624,0.8011,57.3736,1.448,54.3357,19.8879,junior,low,low,0,1,1,0,0,0,1,1
0bab2b035e1cc4e628fe46ee6c1a26e0,Endang Saputra,95,10,F,single,t,75.91,Good,0,74.7725,68.045,87.6,64.4,66.0,81.1,1,73.2101,0.9886,73.0962,1.0152,75.3422,1.1393,senior,medium,low,0,0,1,1,2,2,2,1
7f6935139516ea8b33ceb6907c9f3365,Wati Simanjuntak,80,3,F,single,t,65.23,Average,0,61.7567,64.677,68.9,53.3,55.5,69.3,0,64.023,0.9652,63.6754,1.0563,63.4946,3.4757,mid,low,low,0,0,1,1,0,1,1,1
79ebe77e9336c5da7a009c2051b52f73,Nina Yuliana,66,1,M,single,t,65.85,Average,0,64.1993,73.717,60.8,70.4,51.6,74.1,1,67.7163,0.9835,67.5509,1.0258,65.0264,1.6543,junior,low,low,0,1,1,1,0,0,1,1
eb9dbb0f362a89b30d7ccae01e024d65,Wati Sitompul,66,5,M,married,t,77.33,Good,0,71.4332,47.494,99.1,55.0,84.9,46.7,1,66.6091,0.9411,66.0197,1.0825,74.3804,5.8945,mid,medium,low,0,1,0,1,2,1,2,1
d5063cb2f7abcb5fe653fb8058bc0b54,Adi Pratama,88,0,F,single,f,70.54,Average,0,51.2616,54.8,52.9,48.3,63.7,40.2,1,60.0346,0.8072,58.1068,1.3761,60.9008,19.2784,junior,medium,low,0,0,1,0,0,0,2,1
26e0d3bd08dd8caa8ff76f132d0a91d3,Citra Utama,106,5,F,married,t,100.0,Excellent,0,83.5439,100.0,85.4,76.1,81.5,91.2,1,95.0632,0.8354,93.4176,1.197,91.772,16.4561,mid,high,medium,1,0,0,1,1,1,0,2
f6701c2cb5a925ea91619c6628a97f6c,Joko Nasution,88,4,F,married,t,81.51,Good,0,72.5205,99.097,64.6,62.9,88.8,73.7,1,84.0873,0.9102,83.1888,1.1239,77.0129,8.9849,mid,medium,low,0,0,0,1,2,1,2,1
5abdc808200b60ffe7074449bbc3fa8d,Yuni Manurung,81,8,M,married,f,57.77,Below Average,0,54.9711,36.402,77.3,16.6,60.4,65.6,1,50.5205,0.972,50.2405,1.0509,56.3712,2.8001,senior,low,low,0,1,0,0,3,2,1,1
f88515c1ef4f236ed9a4ab768f9e8fe8,Putri Sari,93,2,M,married,t,52.66,Below Average,1,72.8606,68.228,69.6,87.0,71.6,63.3,1,63.3915,0.798,65.4113,0.7228,62.7616,-20.1981,junior,low,low,0,1,0,1,3,0,1,1
e631a2088dfa1a5d4ef5c100cfff9dbf,Rizki Permana,86,5,F,married,t,83.19,Good,0,62.3725,53.285,72.2,39.2,63.5,74.6,1,67.975,0.7918,65.8928,1.3338,72.7835,20.8219,mid,medium,low,0,0,0,1,2,1,2,1
1e6d70cd17b79e86e60c38a5597b67d3,Taufik Sitompul,98,5,F,married,f,85.72,Good,0,73.0515,75.909,65.3,82.3,58.1,86.6,1,78.9751,0.8733,77.7085,1.1734,79.3844,12.6657,mid,high,low,1,0,0,0,2,1,0,1
5b23ef23a0d3e6849e43ebd3e44b072e,Yudi Hutabarat,68,8,M,single,t,100.0,Excellent,0,93.9377,88.748,80.9,94.8,100.0,100.0,1,94.8056,0.9394,94.1994,1.0645,96.9689,6.0623,senior,high,high,1,1,1,1,1,2,0,0
1b2d1b60e9dcce2f8111a6640a6dd42c,Yuni Sitompul,76,12,M,single,t,98.74,Excellent,1,94.0305,88.534,91.3,90.7,96.9,97.3,1,94.2671,0.9529,93.7957,1.0501,96.3874,4.7137,veteran,high,high,1,1,1,1,1,3,0,0
ffbde28cd5cd35533cc1cb7d0d84f02e,Hadi Purnama,104,6,M,married,f,85.29,Good,0,48.2833,49.275,42.4,46.9,41.4,62.4,1,63.3854,0.6299,59.6843,1.7665,66.7891,37.0115,senior,high,low,1,1,0,0,2,2,0,1
8a8bfacdf60df8d041cf352f8a49341d,Vina Manurung,77,5,F,married,t,54.49,Below Average,0,63.0974,42.701,88.4,56.5,67.7,39.7,1,53.5337,0.9139,54.3949,0.8635,58.7913,-8.6123,mid,low,low,0,0,0,1,3,1,1,1
617984c78c5b04e579e475557c8dd287,Andi Utama,84,7,M,married,f,38.37,Below Average,0,56.1336,46.811,48.3,39.4,84.8,52.1,1,46.2324,0.8224,48.0085,0.6836,47.253,-17.7613,senior,low,low,0,1,0,0,3,2,1,1
3195d14d1cce08e3335b770a5d5cf1ff,Kartini Nugraha,60,2,M,married,t,43.14,Below Average,0,50.6028,37.198,38.0,46.8,50.0,67.7,1,43.5961,0.9254,44.3424,0.8525,46.8713,-7.4629,junior,low,low,0,1,0,1,3,0,1,1
ddee2840ef733076d7af894e13068b20,Tri Rahayu,65,14,F,married,f,73.17,Average,0,67.7375,72.448,62.0,74.9,66.2,67.8,1,71.3228,0.9457,70.7797,1.0802,70.4527,5.4306,veteran,medium,low,0,0,0,0,0,3,2,1
a9d77666027484bd8b2cba0edc560b1d,Deni Manurung,79,15,M,married,t,81.8,Good,0,81.0365,62.465,83.3,71.0,85.2,84.7,1,75.7703,0.9924,75.694,1.0094,81.4179,0.7628,veteran,medium,medium,0,1,0,1,2,3,2,2
05e546b71fd5fd3a02af0fc5efdd0784,Sri Rahayu,100,3,M,married,t,82.09,Good,1,78.6064,83.112,66.7,89.3,74.8,83.6,1,81.353,0.9651,81.0042,1.0444,80.3502,3.4875,mid,medium,medium,0,1,0,1,2,1,2,2
2761c520257ea0526e6fbe1a1291552f,Fajar Sitompul,109,4,M,married,t,90.82,Excellent,0,65.5072,73.639,57.0,50.9,76.1,78.0,1,78.0725,0.7469,75.5411,1.3864,78.1646,25.3147,mid,high,low,1,1,0,1,1,1,0,1
9a326ffc4b41cce04bd257a88fa603b3,Widya Sari,102,2,F,single,t,77.34,Good,0,75.6876,88.596,72.4,79.6,66.4,84.3,1,80.2195,0.9835,80.0546,1.0218,76.5118,1.6484,junior,medium,medium,0,0,1,1,2,0,2,2
6fccece2e5d60a0c4df2ee6de8775f5a,Fajar Setiawan,86,14,F,single,t,100.0,Excellent,1,77.9782,75.626,77.7,78.3,70.3,85.5,1,86.0813,0.7798,83.8791,1.2824,88.9891,22.0218,veteran,high,medium,1,0,1,1,1,3,0,2
0de58c44056ebe56bdef6a41b5bb5420,Rita Nugraha,88,8,M,married,f,80.32,Good,0,86.096,88.393,74.5,99.5,70.3,100.0,0,84.4741,0.9422,85.0518,0.9329,83.2073,-5.7775,senior,medium,medium,0,1,0,0,2,2,2,2
2c15a05cf48eb5be80044eefde45935b,Siti Permana,106,4,F,married,t,88.4,Good,1,87.5053,100.0,69.5,100.0,89.9,90.7,1,91.612,0.991,91.5224,1.0102,87.9532,0.8958,mid,high,medium,1,0,0,1,2,1,0,2
5943f771f5a67e2ffbae666499b0d2f8,Maya Rahayu,86,9,O,single,t,46.13,Below Average,0,43.5104,46.326,56.3,31.1,32.9,53.7,1,45.4036,0.9738,45.1415,1.0602,44.8211,2.6213,senior,low,low,0,0,1,1,3,2,1,1
d3172f7e81cb951c1ecac2d834cfc158,Rahmat Pratama,105,2,M,single,t,82.65,Good,1,82.1256,66.935,80.6,72.5,91.6,83.7,1,77.7766,0.9948,77.7245,1.0063,82.3857,0.5203,junior,medium,medium,0,1,1,1,2,0,2,2
4e6fc51fbc614b722a010a330678a540,Yuni Sutanto,95,5,M,single,t,73.68,Average,0,82.0761,73.991,86.9,82.9,81.9,76.6,1,76.2934,0.9161,77.1327,0.8977,77.8796,-8.393,mid,medium,medium,0,1,1,1,0,1,2,2
a0ffa3a5e05866ac9816a613b3fdf96e,Eko Sari,84,9,F,single,t,100.0,Excellent,1,95.8633,100.0,89.4,100.0,94.0,100.0,1,98.759,0.9586,98.3453,1.0432,97.9317,4.1367,senior,high,high,1,0,1,1,1,2,0,0
a1455364ff1e0f6cdb6fa8a511b746dc,Agus Harahap,92,10,M,married,t,79.69,Good,0,90.7487,64.144,83.7,81.1,99.9,98.3,1,78.3455,0.8895,79.451,0.8782,85.2214,-11.0546,senior,medium,high,0,1,0,1,2,2,2,0
545ecf9ef0212974e3b995c3793ad721,Ratna Sutanto,106,8,M,married,t,89.94,Good,1,92.6697,84.962,98.7,87.7,100.0,84.2,1,89.2646,0.9727,89.5378,0.9705,91.3036,-2.7324,senior,high,high,1,1,0,1,2,2,0,0
216f0b8eefc28c84d728e6ab5d272be5,Fajar Yuliana,104,5,M,married,t,85.14,Good,0,61.4209,53.512,73.3,43.2,57.1,72.1,1,68.5346,0.7628,66.1631,1.3861,73.2789,23.7159,mid,high,low,1,1,0,1,2,1,0,1
e2374b1108929bd32550d8e0d6425b22,Budi Saputra,108,9,F,married,t,60.13,Average,0,67.7687,58.299,45.3,65.6,75.5,84.7,1,61.8721,0.9236,62.636,0.8873,63.9492,-7.639,senior,low,low,0,0,0,1,0,2,1,1
35db4b9e120446edae00fb7017f822ed,Sri Nasution,65,6,O,single,t,45.06,Below Average,0,63.6036,76.512,54.0,67.4,54.2,78.8,1,60.0605,0.8146,61.9144,0.7085,54.334,-18.5391,senior,low,low,0,0,1,1,3,2,1,1
8e25c991dfa89c2d212a1f30c3befead,Tri Nugraha,97,4,M,married,t,73.79,Average,0,89.5169,88.266,92.0,75.3,93.0,97.9,1,82.8511,0.8427,84.4238,0.8243,81.6537,-15.7265,mid,medium,medium,0,1,0,1,0,1,2,2
6264723638f4c9285078b2b656a30866,Adi Pratama,71,1,O,married,t,46.61,Below Average,0,41.2127,30.189,35.5,53.4,46.4,29.7,0,40.0662,0.946,39.526,1.1311,43.9136,5.4016,junior,low,low,0,0,0,1,3,0,1,1
9a6fa9edfb88572d88ce337438a3a80d,Tri Simanjuntak,96,5,F,married,t,87.05,Good,1,77.8183,84.102,90.9,71.6,78.3,70.4,0,83.3958,0.9077,82.4728,1.1186,82.4337,9.2307,mid,high,medium,1,0,0,1,2,1,0,2
a14ec989d5292558f212850ae2f38fd1,Siti Sitompul,73,6,M,married,t,83.02,Good,0,63.7514,63.689,72.8,50.9,76.2,55.1,1,71.4392,0.8073,69.5126,1.3022,73.3844,19.2661,senior,medium,low,0,1,0,1,2,2,2,1
cb09e56a736e5437f5cc48ab252e5fc8,Rini Permana,64,12,M,married,f,87.55,Good,1,80.1392,82.652,77.3,85.6,71.4,86.3,1,83.8584,0.9259,83.1171,1.0925,83.8461,7.4137,veteran,high,medium,1,1,0,0,2,3,0,2
4ae785d9972467dd079b633f597437e5,Andi Harahap,60,2,F,married,t,73.0,Average,0,78.6023,90.677,73.8,78.5,78.4,83.8,1,79.9824,0.9439,80.5429,0.9287,75.7995,-5.6055,junior,medium,medium,0,0,0,1,0,0,2,2
144c8ef01dd9cf8eb7849c98309cf31f,Andi Permana,78,8,F,married,t,84.3,Good,0,75.2166,62.403,78.3,74.7,77.0,70.8,1,75.0067,0.9091,74.0981,1.1208,79.7595,9.0859,senior,medium,medium,0,0,0,1,2,2,2,2
dfeb6b249b80e4024fa0b835eb589386,Rini Yuliana,92,2,M,single,t,100.0,Excellent,1,95.6886,69.636,86.4,100.0,100.0,96.4,1,89.5974,0.9569,89.1663,1.0451,97.8443,4.3114,junior,high,high,1,1,1,1,1,0,0,0
81b3d6dfffede845ac6d987ca0b81989,Endang Nugraha,93,5,M,married,t,100.0,Excellent,0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,1.0,100.0,1.0,100.0,0.0,mid,high,high,1,1,0,1,1,1,0,0
e24fcf32ce0ca3dae5c676b3238e7b99,Hadi Yuliana,95,11,M,married,t,70.49,Average,0,66.5493,50.374,59.0,57.7,81.1,68.3,1,63.2734,0.9606,62.8792,1.0592,68.5202,3.942,veteran,medium,low,0,1,0,1,0,3,2,1
ba7ce9c0554cae12513e1be0338103d5,Fajar Nasution,85,1,M,married,t,99.92,Excellent,0,79.0327,75.201,78.6,77.9,64.7,94.9,0,86.2377,0.7911,84.1491,1.2643,89.4758,20.8861,junior,high,medium,1,1,0,1,1,0,0,2
79887c628d612050ccf6d95040efbbb3,Yanti Simanjuntak,72,5,F,married,t,72.03,Average,0,82.3426,84.966,91.3,73.9,74.2,90.0,1,79.005,0.8969,80.0361,0.8748,77.1867,-10.3118,mid,medium,medium,0,0,0,1,0,1,2,2
4140bab858740eae5346fa20d3ec8bd2,Vina Putra,84,1,F,married,t,70.23,Average,0,61.8925,75.721,50.7,55.2,64.9,76.7,1,69.3767,0.9166,68.5428,1.1347,66.0618,8.3386,junior,medium,low,0,0,0,1,0,0,2,1
6b12b8e05baa8e88ddd970ae8b59c49c,Fitri Sari,84,14,M,married,t,100.0,Excellent,1,97.1864,89.349,100.0,100.0,90.6,98.1,1,95.9605,0.9719,95.6792,1.029,98.5932,2.8136,veteran,high,high,1,1,0,1,1,3,0,0
09dd803fb4e9fa962fc5f6c212d9a1ca,Andi Sari,108,9,F,single,t,70.59,Average,0,46.8787,52.888,36.1,41.6,63.6,46.2,1,58.1666,0.7629,55.7953,1.5058,58.7352,23.7128,senior,medium,low,0,0,1,1,0,2,2,1
83982a5efa123103ba26d8a38234ce2e,Umi Sitompul,94,7,M,single,t,69.93,Average,0,57.872,68.28,44.2,56.1,74.1,57.1,1,65.819,0.8794,64.6128,1.2084,63.9029,12.0617,senior,low,low,0,1,1,1,0,2,1,1
841c1152b4f6c959dc4ea11491eb829b,Zainal Wibowo,87,13,M,married,t,71.01,Average,0,48.7303,55.138,37.9,48.9,47.0,61.0,1,59.5658,0.7772,57.3375,1.4573,59.8716,22.2826,veteran,medium,low,0,1,0,1,0,3,2,1
95f5a71000782116755c4791173601dd,Sri Setiawan,95,3,M,married,t,84.89,Good,0,68.849,79.671,61.1,52.1,97.2,65.0,1,78.5115,0.8396,76.9075,1.233,76.8689,16.0396,mid,medium,low,0,1,0,1,2,1,2,1
f11f1ec15e79c029f761aba561031a6f,Tri Sutanto,101,4,M,married,t,81.2,Good,0,78.3628,65.245,94.5,62.0,75.7,81.3,0,75.5622,0.9716,75.2785,1.0362,79.7812,2.8367,mid,medium,medium,0,1,0,1,2,1,2,2
083841e659cd0fa6435a33c54861fe6e,Rahmat Hutabarat,94,3,O,married,t,84.3,Good,0,73.4701,58.973,86.3,76.3,69.7,61.5,0,73.454,0.8917,72.3708,1.1474,78.8862,10.8321,mid,medium,low,0,0,0,1,2,1,2,1
2b225460136330eacbd4287868738b31,Sri Nasution,84,2,M,married,t,78.0,Good,0,67.9968,63.115,67.1,60.9,73.0,70.9,1,70.5322,0.9,69.5322,1.1471,72.9968,10.0,junior,medium,low,0,1,0,1,2,0,2,1
028b2b5d414ea55cc32fa77859d29f8c,Anita Susanto,93,4,M,widow,t,64.44,Average,0,58.9108,61.702,57.1,53.1,65.2,60.3,1,61.9583,0.9447,61.4058,1.0938,61.6734,5.5251,mid,low,low,0,1,2,1,0,1,1,1
